Script,Model,Query Word,Rank,Neighbor,Similarity
Gurmukhi,CBOW,ਭਾਰਤ,1,ਰੋਮਨ,0.6658
Gurmukhi,CBOW,ਭਾਰਤ,2,ਰਾਜ,0.6641
Gurmukhi,CBOW,ਭਾਰਤ,3,ਪਾਕਿਸਤਾਨ,0.642
Gurmukhi,CBOW,ਭਾਰਤ,4,ਰਾਜਸਥਾਨ,0.6368
Gurmukhi,CBOW,ਭਾਰਤ,5,ਪ੍ਰਾਂਤ,0.6132
Gurmukhi,CBOW,ਪਾਕਿਸਤਾਨ,1,ਸੂਬੇ,0.8166
Gurmukhi,CBOW,ਪਾਕਿਸਤਾਨ,2,ਪ੍ਰਾਂਤ,0.7674
Gurmukhi,CBOW,ਪਾਕਿਸਤਾਨ,3,ਰਾਜਸਥਾਨ,0.7316
Gurmukhi,CBOW,ਪਾਕਿਸਤਾਨ,4,ਪੰਜਾਬ,0.7285
Gurmukhi,CBOW,ਪਾਕਿਸਤਾਨ,5,ਹਰਿਆਣਾ,0.719
Gurmukhi,CBOW,ਪੰਜਾਬ,1,ਪਾਕਿਸਤਾਨ,0.7285
Gurmukhi,CBOW,ਪੰਜਾਬ,2,ਹਰਿਆਣਾ,0.6624
Gurmukhi,CBOW,ਪੰਜਾਬ,3,ਇੱਥੋਂ,0.5911
Gurmukhi,CBOW,ਪੰਜਾਬ,4,ਸੂਬੇ,0.5748
Gurmukhi,CBOW,ਪੰਜਾਬ,5,ਬਠਿੰਡੇ,0.5701
Gurmukhi,CBOW,ਗੁਰੂ,1,ਪਾਤਸ਼ਾਹ,0.6854
Gurmukhi,CBOW,ਗੁਰੂ,2,ਆਪ,0.6682
Gurmukhi,CBOW,ਗੁਰੂ,3,ਦੇਵ,0.6411
Gurmukhi,CBOW,ਗੁਰੂ,4,ਗੁਰਗੱਦੀ,0.6245
Gurmukhi,CBOW,ਗੁਰੂ,5,ਅਰਜਨ,0.6135
Gurmukhi,CBOW,ਨਾਨਕ,1,ਅੰਗਦ,0.8389
Gurmukhi,CBOW,ਨਾਨਕ,2,ਅਰਜਨ,0.8305
Gurmukhi,CBOW,ਨਾਨਕ,3,ਰਾਮਦਾਸ,0.7789
Gurmukhi,CBOW,ਨਾਨਕ,4,ਸਾਹਿਬਾਨ,0.7342
Gurmukhi,CBOW,ਨਾਨਕ,5,ਦੇਵ,0.7127
Gurmukhi,CBOW,ਸਿੱਖ,1,ਹਿੰਦੂ,0.7088
Gurmukhi,CBOW,ਸਿੱਖ,2,ਇਸਲਾਮ,0.6543
Gurmukhi,CBOW,ਸਿੱਖ,3,ਈਸਾਈ,0.6233
Gurmukhi,CBOW,ਸਿੱਖ,4,ਸਿੱਖਾਂ,0.6001
Gurmukhi,CBOW,ਸਿੱਖ,5,ਜੈਨ,0.5527
Gurmukhi,CBOW,ਲਾਹੌਰ,1,ਕਿਲ੍ਹਾ,0.8191
Gurmukhi,CBOW,ਲਾਹੌਰ,2,ਦਿੱਲੀ,0.7965
Gurmukhi,CBOW,ਲਾਹੌਰ,3,ਕਿਲ੍ਹੇ,0.7786
Gurmukhi,CBOW,ਲਾਹੌਰ,4,ਗੁਜਰਾਂਵਾਲਾ,0.7766
Gurmukhi,CBOW,ਲਾਹੌਰ,5,ਮੁਬਾਰਕ,0.7636
Gurmukhi,CBOW,ਮੁੰਬਈ,1,ਕੋਲਕਾਤਾ,0.864
Gurmukhi,CBOW,ਮੁੰਬਈ,2,ਬਿਹਾਰ,0.8389
Gurmukhi,CBOW,ਮੁੰਬਈ,3,ਹੈਦਰਾਬਾਦ,0.8249
Gurmukhi,CBOW,ਮੁੰਬਈ,4,ਚੇਨਈ,0.8249
Gurmukhi,CBOW,ਮੁੰਬਈ,5,ਰੇਲਵੇ,0.808
Gurmukhi,Skip-gram,ਭਾਰਤ,1,ਸੰਵਿਧਾਨ,0.5287
Gurmukhi,Skip-gram,ਭਾਰਤ,2,ਏਸ਼ਿਆ,0.5204
Gurmukhi,Skip-gram,ਭਾਰਤ,3,ਤਤਕਾਲੀਨ,0.5122
Gurmukhi,Skip-gram,ਭਾਰਤ,4,ਪੂਰਵੀ,0.5065
Gurmukhi,Skip-gram,ਭਾਰਤ,5,ਸ਼ਾਸਿਤ,0.5057
Gurmukhi,Skip-gram,ਪਾਕਿਸਤਾਨ,1,ਸੂਬੇ,0.6006
Gurmukhi,Skip-gram,ਪਾਕਿਸਤਾਨ,2,ਬਲੋਚਿਸਤਾਨ,0.595
